State Bucket,Draw Call #,GPUTime (ms),GPUBusy (%),TessellatorBusy (%),VSBusy (%),VSTime (ms),HSBusy (%),HSTime (ms),DSBusy (%),DSTime (ms),GSBusy (%),GSTime (ms),PSBusy (%),PSTime (ms),CSBusy (%),CSTime (ms),PrimitiveAssemblyBusy (%),TexUnitBusy (%),DepthStencilTestBusy (%),VSVerticesIn,VSVALUInstCount,VSSALUInstCount,VSVALUBusy (%),VSSALUBusy (%),HSPatches,HSVALUInstCount,HSSALUInstCount,HSVALUBusy (%),HSSALUBusy (%),GSPrimsIn,GSVerticesOut,GSVALUInstCount,GSSALUInstCount,GSVALUBusy (%),GSSALUBusy (%),PSPixelsOut,PSExportStalls (%),PSVALUInstCount,PSSALUInstCount,PSVALUBusy (%),PSSALUBusy (%),TexTriFilteringPct (%),TexVolFilteringPct (%),TexAveAnisotropy,State Hash
glDrawArrays,212,0.01344,100,0.32326,8.9944,0.00120885,0,0,0,0,0,0,100,0.01344,0,0,4.70622,57.0264,130.052,36,202,7,0.0125962,0.000873001,0,0,0,0,0,0,0,0,0,0,0,363268,15.6462,34,4,34.149,8.03507,0,0,0,<hash><Depth><Enabled>1</Enabled><Attachment>1</Attachment></Depth><FBO>1</FBO><FS>2</FS><GS>0x0000000000000000</GS><Program>3</Program><Stencil><Enabled>1</Enabled><Attachment>1</Attachment></Stencil><TCS>0x0000000000000000</TCS><TES>0x0000000000000000</TES><VS>1</VS></hash>
glDrawArrays,169,0.01184,100,0.989797,15.3785,0.00182082,0,0,0,0,0,0,100,0.01184,0,0,8.32315,89.6163,42.0434,36,202,7,0.0385685,0.00267306,0,0,0,0,0,0,0,0,0,0,0,127396,0.193033,34,4,13.4348,3.16114,0,0,0,<hash><Depth><Enabled>1</Enabled><Attachment>1</Attachment></Depth><FBO>1</FBO><FS>2</FS><GS>0x0000000000000000</GS><Program>3</Program><Stencil><Enabled>1</Enabled><Attachment>1</Attachment></Stencil><TCS>0x0000000000000000</TCS><TES>0x0000000000000000</TES><VS>1</VS></hash>
glDrawArrays,190,0.01104,100,0.943259,14.1372,0.00156075,0,0,0,0,0,0,100,0.01104,0,0,7.66398,92.0405,51.1456,36,202,7,0.0367551,0.00254738,0,0,0,0,0,0,0,0,0,0,0,166651,1.87728,34,4,16.6096,3.90815,0,0,0,<hash><Depth><Enabled>1</Enabled><Attachment>1</Attachment></Depth><FBO>1</FBO><FS>2</FS><GS>0x0000000000000000</GS><Program>3</Program><Stencil><Enabled>1</Enabled><Attachment>1</Attachment></Stencil><TCS>0x0000000000000000</TCS><TES>0x0000000000000000</TES><VS>1</VS></hash>
glDrawArrays,232,0.01088,100,0.347557,9.1148,0.00099169,0,0,0,0,0,0,100,0.01088,0,0,4.77999,60.3291,131.113,36,202,7,0.0135429,0.00093862,0,0,0,0,0,0,0,0,0,0,0,365884,15.1745,34,4,35.6789,8.39503,0,0,0,<hash><Depth><Enabled>1</Enabled><Attachment>1</Attachment></Depth><FBO>1</FBO><FS>2</FS><GS>0x0000000000000000</GS><Program>3</Program><Stencil><Enabled>1</Enabled><Attachment>1</Attachment></Stencil><TCS>0x0000000000000000</TCS><TES>0x0000000000000000</TES><VS>1</VS></hash>
glDrawArrays,171,0.01056,100,1.03673,16.7381,0.00176755,0,0,0,0,0,0,100,0.01056,0,0,9.03302,81.3324,66.8933,36,202,7,0.0403974,0.00279982,0,0,0,0,0,0,0,0,0,0,0,172282,2.13361,34,4,18.8748,4.44114,0,0,0,<hash><Depth><Enabled>1</Enabled><Attachment>1</Attachment></Depth><FBO>1</FBO><FS>2</FS><GS>0x0000000000000000</GS><Program>3</Program><Stencil><Enabled>1</Enabled><Attachment>1</Attachment></Stencil><TCS>0x0000000000000000</TCS><TES>0x0000000000000000</TES><VS>1</VS></hash>
glDrawArrays,170,0.01056,100,0.967597,15.0694,0.00159133,0,0,0,0,0,0,100,0.01056,0,0,8.1544,90.2927,54.5289,36,202,7,0.0377034,0.00261311,0,0,0,0,0,0,0,0,0,0,0,164483,2.68579,34,4,16.7233,3.93489,0,0,0,<hash><Depth><Enabled>1</Enabled><Attachment>1</Attachment></Depth><FBO>1</FBO><FS>2</FS><GS>0x0000000000000000</GS><Program>3</Program><Stencil><Enabled>1</Enabled><Attachment>1</Attachment></Stencil><TCS>0x0000000000000000</TCS><TES>0x0000000000000000</TES><VS>1</VS></hash>
glDrawArrays,151,0.00992,100,1.87435,29.7293,0.00294914,0,0,0,0,0,0,45.4131,0.00450498,0,0,16.6696,1.64006,0.402059,36,202,7,0.073036,0.0050619,0,0,0,0,0,0,0,0,0,0,0,1822,0,34,4,0.282151,0.0663885,0,0,0,<hash><Depth><Enabled>1</Enabled><Attachment>1</Attachment></Depth><FBO>1</FBO><FS>2</FS><GS>0x0000000000000000</GS><Program>3</Program><Stencil><Enabled>1</Enabled><Attachment>1</Attachment></Stencil><TCS>0x0000000000000000</TCS><TES>0x0000000000000000</TES><VS>1</VS></hash>
glDrawArrays,168,0.0096,100,1.16229,18.6325,0.00178872,0,0,0,0,0,0,100,0.0096,0,0,10.0606,77.7712,33.7441,36,202,7,0.0452899,0.0031389,0,0,0,0,0,0,0,0,0,0,0,87251,0,34,4,8.26601,1.94494,0,0,0,<hash><Depth><Enabled>1</Enabled><Attachment>1</Attachment></Depth><FBO>1</FBO><FS>2</FS><GS>0x0000000000000000</GS><Program>3</Program><Stencil><Enabled>1</Enabled><Attachment>1</Attachment></Stencil><TCS>0x0000000000000000</TCS><TES>0x0000000000000000</TES><VS>1</VS></hash>
glDrawArrays,210,0.00944,100,0.453871,12.2531,0.00115669,0,0,0,0,0,0,100,0.00944,0,0,6.41442,79.7474,78.8607,36,202,7,0.0176855,0.00122573,0,0,0,0,0,0,0,0,0,0,0,148690,6.06104,34,4,16.0707,3.78135,0,0,0,<hash><Depth><Enabled>1</Enabled><Attachment>1</Attachment></Depth><FBO>1</FBO><FS>2</FS><GS>0x0000000000000000</GS><Program>3</Program><Stencil><Enabled>1</Enabled><Attachment>1</Attachment></Stencil><TCS>0x0000000000000000</TCS><TES>0x0000000000000000</TES><VS>1</VS></hash>
glDrawArrays,209,0.00912,100,0.581573,16.223,0.00147954,0,0,0,0,0,0,100,0.00912,0,0,8.49294,90.7254,81.965,36,202,7,0.0226616,0.00157061,0,0,0,0,0,0,0,0,0,0,0,107004,0.174187,34,4,12.1402,2.85653,0,0,0,<hash><Depth><Enabled>1</Enabled><Attachment>1</Attachment></Depth><FBO>1</FBO><FS>2</FS><GS>0x0000000000000000</GS><Program>3</Program><Stencil><Enabled>1</Enabled><Attachment>1</Attachment></Stencil><TCS>0x0000000000000000</TCS><TES>0x0000000000000000</TES><VS>1</VS></hash>
