State Bucket,Draw Call #,GPUTime (ms),GPUBusy (%),TessellatorBusy (%),VSBusy (%),VSTime (ms),HSBusy (%),HSTime (ms),DSBusy (%),DSTime (ms),GSBusy (%),GSTime (ms),PSBusy (%),PSTime (ms),CSBusy (%),CSTime (ms),PrimitiveAssemblyBusy (%),TexUnitBusy (%),DepthStencilTestBusy (%),VSVerticesIn,VSVALUInstCount,VSSALUInstCount,VSVALUBusy (%),VSSALUBusy (%),HSPatches,HSVALUInstCount,HSSALUInstCount,HSVALUBusy (%),HSSALUBusy (%),GSPrimsIn,GSVerticesOut,GSVALUInstCount,GSSALUInstCount,GSVALUBusy (%),GSSALUBusy (%),PSPixelsOut,PSExportStalls (%),PSVALUInstCount,PSSALUInstCount,PSVALUBusy (%),PSSALUBusy (%),TexTriFilteringPct (%),TexVolFilteringPct (%),TexAveAnisotropy,State Hash
glDrawArrays,189,0.00448,100,0.76998,20.269,0.000908052,0,0,0,0,0,0,100,0.00448,0,0,10.6348,89.6421,6.87992,36,202,7,0.0300031,0.00207942,0,0,0,0,0,0,0,0,0,0,0,28657,0,34,4,2.3375,0.550001,0,0,0,<hash><Depth><Enabled>1</Enabled><Attachment>1</Attachment></Depth><FBO>1</FBO><FS>2</FS><GS>0x0000000000000000</GS><Program>3</Program><Stencil><Enabled>1</Enabled><Attachment>1</Attachment></Stencil><TCS>0x0000000000000000</TCS><TES>0x0000000000000000</TES><VS>1</VS></hash>
glDrawArrays,203,0.00416,100,1.43015,37.7753,0.00157145,0,0,0,0,0,0,13.9108,0.000578691,0,0,19.8389,0.293533,0.00882807,36,202,7,0.0557272,0.00386228,0,0,0,0,0,0,0,0,0,0,0,24,0,34,4,0.00920192,0.00216516,0,0,0,<hash><Depth><Enabled>1</Enabled><Attachment>1</Attachment></Depth><FBO>1</FBO><FS>2</FS><GS>0x0000000000000000</GS><Program>3</Program><Stencil><Enabled>1</Enabled><Attachment>1</Attachment></Stencil><TCS>0x0000000000000000</TCS><TES>0x0000000000000000</TES><VS>1</VS></hash>
glDrawArrays,229,0.00416,100,0.802278,22.4985,0.000935936,0,0,0,0,0,0,100,0.00416,0,0,11.7581,81.425,7.42974,36,202,7,0.0312616,0.00216665,0,0,0,0,0,0,0,0,0,0,0,25476,0,34,4,2.20557,0.518958,0,0,0,<hash><Depth><Enabled>1</Enabled><Attachment>1</Attachment></Depth><FBO>1</FBO><FS>2</FS><GS>0x0000000000000000</GS><Program>3</Program><Stencil><Enabled>1</Enabled><Attachment>1</Attachment></Stencil><TCS>0x0000000000000000</TCS><TES>0x0000000000000000</TES><VS>1</VS></hash>
glDrawArrays,204,0.004,100,1.17519,32.0348,0.00128139,0,0,0,0,0,0,94.2346,0.00376938,0,0,16.7882,10.5404,2.40116,36,202,7,0.0457925,0.00317374,0,0,0,0,0,0,0,0,0,0,0,766,0,34,4,0.123139,0.028974,0,0,0,<hash><Depth><Enabled>1</Enabled><Attachment>1</Attachment></Depth><FBO>1</FBO><FS>2</FS><GS>0x0000000000000000</GS><Program>3</Program><Stencil><Enabled>1</Enabled><Attachment>1</Attachment></Stencil><TCS>0x0000000000000000</TCS><TES>0x0000000000000000</TES><VS>1</VS></hash>
glDrawArrays,148,0.00368,100,1.46447,22.7084,0.000835668,0,0,0,0,0,0,100,0.00368,0,0,12.2876,50.3548,5.69969,36,202,7,0.0570647,0.00395498,0,0,0,0,0,0,0,0,0,0,0,18268,0,34,4,1.61739,0.380562,0,0,0,<hash><Depth><Enabled>1</Enabled><Attachment>1</Attachment></Depth><FBO>1</FBO><FS>2</FS><GS>0x0000000000000000</GS><Program>3</Program><Stencil><Enabled>1</Enabled><Attachment>1</Attachment></Stencil><TCS>0x0000000000000000</TCS><TES>0x0000000000000000</TES><VS>1</VS></hash>
glDrawArrays,147,0.00368,100,1.53199,24.3368,0.000895596,0,0,0,0,0,0,100,0.00368,0,0,13.1472,47.267,4.48957,36,202,7,0.0596955,0.00413731,0,0,0,0,0,0,0,0,0,0,0,13715,0,34,4,1.26066,0.296627,0,0,0,<hash><Depth><Enabled>1</Enabled><Attachment>1</Attachment></Depth><FBO>1</FBO><FS>2</FS><GS>0x0000000000000000</GS><Program>3</Program><Stencil><Enabled>1</Enabled><Attachment>1</Attachment></Stencil><TCS>0x0000000000000000</TCS><TES>0x0000000000000000</TES><VS>1</VS></hash>
glDrawArrays,146,0.00368,100,1.6386,25.6056,0.000942287,0,0,0,0,0,0,100,0.00368,0,0,13.8522,33.7506,2.46295,36,202,7,0.0638497,0.00442523,0,0,0,0,0,0,0,0,0,0,0,7132,0,34,4,0.685046,0.161187,0,0,0,<hash><Depth><Enabled>1</Enabled><Attachment>1</Attachment></Depth><FBO>1</FBO><FS>2</FS><GS>0x0000000000000000</GS><Program>3</Program><Stencil><Enabled>1</Enabled><Attachment>1</Attachment></Stencil><TCS>0x0000000000000000</TCS><TES>0x0000000000000000</TES><VS>1</VS></hash>
glDrawArrays,228,0.00352,100,0.845688,22.7031,0.000799148,0,0,0,0,0,0,100,0.00352,0,0,11.8879,79.6696,5.97854,36,202,7,0.0329531,0.00228388,0,0,0,0,0,0,0,0,0,0,0,17336,0,34,4,1.49234,0.351139,0,0,0,<hash><Depth><Enabled>1</Enabled><Attachment>1</Attachment></Depth><FBO>1</FBO><FS>2</FS><GS>0x0000000000000000</GS><Program>3</Program><Stencil><Enabled>1</Enabled><Attachment>1</Attachment></Stencil><TCS>0x0000000000000000</TCS><TES>0x0000000000000000</TES><VS>1</VS></hash>
glDrawArrays,248,0.00352,100,0.809858,21.7787,0.00076661,0,0,0,0,0,0,100,0.00352,0,0,11.4205,83.5466,3.58937,36,202,7,0.031557,0.00218712,0,0,0,0,0,0,0,0,0,0,0,13945,0,34,4,1.30965,0.308154,0,0,0,<hash><Depth><Enabled>1</Enabled><Attachment>1</Attachment></Depth><FBO>1</FBO><FS>2</FS><GS>0x0000000000000000</GS><Program>3</Program><Stencil><Enabled>1</Enabled><Attachment>1</Attachment></Stencil><TCS>0x0000000000000000</TCS><TES>0x0000000000000000</TES><VS>1</VS></hash>
glDrawArrays,166,0.00352,100,0.897855,23.5632,0.000829423,0,0,0,0,0,0,100,0.00352,0,0,12.3483,72.5475,1.7971,36,202,7,0.0349859,0.00242476,0,0,0,0,0,0,0,0,0,0,0,6924,0,34,4,0.668113,0.157203,0,0,0,<hash><Depth><Enabled>1</Enabled><Attachment>1</Attachment></Depth><FBO>1</FBO><FS>2</FS><GS>0x0000000000000000</GS><Program>3</Program><Stencil><Enabled>1</Enabled><Attachment>1</Attachment></Stencil><TCS>0x0000000000000000</TCS><TES>0x0000000000000000</TES><VS>1</VS></hash>
