State Bucket,Draw Call #,GPUTime (ms),GPUBusy (%),TessellatorBusy (%),VSBusy (%),VSTime (ms),HSBusy (%),HSTime (ms),DSBusy (%),DSTime (ms),GSBusy (%),GSTime (ms),PSBusy (%),PSTime (ms),CSBusy (%),CSTime (ms),PrimitiveAssemblyBusy (%),TexUnitBusy (%),DepthStencilTestBusy (%),VSVerticesIn,VSVALUInstCount,VSSALUInstCount,VSVALUBusy (%),VSSALUBusy (%),HSPatches,HSVALUInstCount,HSSALUInstCount,HSVALUBusy (%),HSSALUBusy (%),GSPrimsIn,GSVerticesOut,GSVALUInstCount,GSSALUInstCount,GSVALUBusy (%),GSSALUBusy (%),PSPixelsOut,PSExportStalls (%),PSVALUInstCount,PSSALUInstCount,PSVALUBusy (%),PSSALUBusy (%),TexTriFilteringPct (%),TexVolFilteringPct (%),TexAveAnisotropy,State Hash
glDrawArrays,204,0.00208,100,1.23447,32.7402,0.000680997,0,0,0,0,0,0,88.8291,0.00184764,0,0,17.1836,11.3313,2.12794,36,202,7,0.0481026,0.00333384,0,0,0,0,0,0,0,0,0,0,0,764,0,34,4,0.203544,0.0478927,0,0,0,<hash><Depth><Enabled>1</Enabled><Attachment>1</Attachment></Depth><FBO>1</FBO><FS>2</FS><GS>0x0000000000000000</GS><Program>3</Program><Stencil><Enabled>1</Enabled><Attachment>1</Attachment></Stencil><TCS>0x0000000000000000</TCS><TES>0x0000000000000000</TES><VS>1</VS></hash>
glDrawArrays,593,0.00192,100,0.768738,20.2648,0.000389084,0,0,0,0,0,0,100,0.00192,0,0,10.6413,73.3255,16.6453,36,202,7,0.0299547,0.00207607,0,0,0,0,0,0,0,0,0,0,0,34561,4.48021,34,4,2.97852,0.700829,0,0,0,<hash><Depth><Enabled>1</Enabled><Attachment>3</Attachment></Depth><FBO>2</FBO><FS>2</FS><GS>0x0000000000000000</GS><Program>3</Program><Stencil><Enabled>1</Enabled><Attachment>0</Attachment></Stencil><TCS>0x0000000000000000</TCS><TES>0x0000000000000000</TES><VS>1</VS></hash>
glDrawArrays,266,0.00192,100,1.12602,30.3364,0.000582459,0,0,0,0,0,0,100,0.00192,0,0,15.9067,19.7852,0.211997,36,202,7,0.0438764,0.00304094,0,0,0,0,0,0,0,0,0,0,0,1716,0,34,4,0.372524,0.0876527,0,0,0,<hash><Depth><Enabled>1</Enabled><Attachment>1</Attachment></Depth><FBO>1</FBO><FS>2</FS><GS>0x0000000000000000</GS><Program>3</Program><Stencil><Enabled>1</Enabled><Attachment>1</Attachment></Stencil><TCS>0x0000000000000000</TCS><TES>0x0000000000000000</TES><VS>1</VS></hash>
glDrawArrays,165,0.00192,100,0.935497,24.6896,0.000474041,0,0,0,0,0,0,100,0.00192,0,0,12.9555,33.1697,0.38979,36,202,7,0.0364526,0.00252642,0,0,0,0,0,0,0,0,0,0,0,2803,0,34,4,0.563081,0.13249,0,0,0,<hash><Depth><Enabled>1</Enabled><Attachment>1</Attachment></Depth><FBO>1</FBO><FS>2</FS><GS>0x0000000000000000</GS><Program>3</Program><Stencil><Enabled>1</Enabled><Attachment>1</Attachment></Stencil><TCS>0x0000000000000000</TCS><TES>0x0000000000000000</TES><VS>1</VS></hash>
glDrawArrays,632,0.00192,100,0.909755,24.5578,0.000471509,0,0,0,0,0,0,100,0.00192,0,0,12.8503,64.0254,9.88095,36,202,7,0.0354495,0.0024569,0,0,0,0,0,0,0,0,0,0,0,15505,0.741937,34,4,1.50107,0.353193,0,0,0,<hash><Depth><Enabled>1</Enabled><Attachment>3</Attachment></Depth><FBO>2</FBO><FS>2</FS><GS>0x0000000000000000</GS><Program>3</Program><Stencil><Enabled>1</Enabled><Attachment>0</Attachment></Stencil><TCS>0x0000000000000000</TCS><TES>0x0000000000000000</TES><VS>1</VS></hash>
glDrawArrays,163,0.00192,100,1.09674,29.4631,0.000565692,0,0,0,0,0,0,27.1062,0.00052044,0,0,15.4373,0.225103,0.0152326,36,202,7,0.0427358,0.00296188,0,0,0,0,0,0,0,0,0,0,0,41,0,34,4,0.0167772,0.00394758,0,0,0,<hash><Depth><Enabled>1</Enabled><Attachment>1</Attachment></Depth><FBO>1</FBO><FS>2</FS><GS>0x0000000000000000</GS><Program>3</Program><Stencil><Enabled>1</Enabled><Attachment>1</Attachment></Stencil><TCS>0x0000000000000000</TCS><TES>0x0000000000000000</TES><VS>1</VS></hash>
glDrawArrays,123,0.00176,100,1.09404,29.35,0.00051656,0,0,0,0,0,0,30.1426,0.000530509,0,0,15.3655,3.75148,0.0168833,36,202,7,0.0426304,0.00295458,0,0,0,0,0,0,0,0,0,0,0,60,0,34,4,0.0391946,0.00922226,0,0,0,<hash><Depth><Enabled>1</Enabled><Attachment>1</Attachment></Depth><FBO>1</FBO><FS>2</FS><GS>0x0000000000000000</GS><Program>3</Program><Stencil><Enabled>1</Enabled><Attachment>1</Attachment></Stencil><TCS>0x0000000000000000</TCS><TES>0x0000000000000000</TES><VS>1</VS></hash>
glDrawArrays,124,0.00176,100,1.10426,29.3616,0.000516765,0,0,0,0,0,0,100,0.00176,0,0,15.4051,23.3019,0.0954296,36,202,7,0.0430285,0.00298218,0,0,0,0,0,0,0,0,0,0,0,1078,0,34,4,0.274435,0.0645729,0,0,0,<hash><Depth><Enabled>1</Enabled><Attachment>1</Attachment></Depth><FBO>1</FBO><FS>2</FS><GS>0x0000000000000000</GS><Program>3</Program><Stencil><Enabled>1</Enabled><Attachment>1</Attachment></Stencil><TCS>0x0000000000000000</TCS><TES>0x0000000000000000</TES><VS>1</VS></hash>
glDrawArrays,187,0.00176,100,0.84571,22.5027,0.000396047,0,0,0,0,0,0,100,0.00176,0,0,11.7903,83.0232,3.1179,36,202,7,0.032954,0.00228394,0,0,0,0,0,0,0,0,0,0,0,11493,0,34,4,1.43201,0.336944,0,0,0,<hash><Depth><Enabled>1</Enabled><Attachment>1</Attachment></Depth><FBO>1</FBO><FS>2</FS><GS>0x0000000000000000</GS><Program>3</Program><Stencil><Enabled>1</Enabled><Attachment>1</Attachment></Stencil><TCS>0x0000000000000000</TCS><TES>0x0000000000000000</TES><VS>1</VS></hash>
glDrawArrays,227,0.00176,100,0.74186,19.6959,0.000346648,0,0,0,0,0,0,100,0.00176,0,0,10.3185,63.1737,2.70756,36,202,7,0.0289074,0.00200348,0,0,0,0,0,0,0,0,0,0,0,9821,0,34,4,1.75832,0.413724,0,0,0,<hash><Depth><Enabled>1</Enabled><Attachment>1</Attachment></Depth><FBO>1</FBO><FS>2</FS><GS>0x0000000000000000</GS><Program>3</Program><Stencil><Enabled>1</Enabled><Attachment>1</Attachment></Stencil><TCS>0x0000000000000000</TCS><TES>0x0000000000000000</TES><VS>1</VS></hash>
